# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 11.0 Date:  08/22/2022
# ___________________________________________________________________________
#
# Columns:
#  (1) Transcription Factor (TF) Name
#  (2) TUName (regulated)
#  (3) Regulatory Function of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the TFBS
#  (5) Evidence of the function of the TFRS#  (6) Object confidence level based on  its evidence (Values: Confirmed, Strong, Weak)
#
AaeR	aaeXAB[aaeXp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
OmpR	ompF[ompFp2]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	STRONG	
OmpR	omrA[omrAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
OmpR	omrB[omrBp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
OmpR	pgaABCD[pgaAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
OmpR	sra[srap]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
OmpR	tppB[tppBp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	ahpCF[ahpCp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	ahpCF[ahpCp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	dps[dpsp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[IHBCE|W|Inferred by a human based on computational evidence]	[]	WEAK	
OxyR	dps[dpsp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[IHBCE|W|Inferred by a human based on computational evidence]	[]	WEAK	
OxyR	elaB[elaBp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	fhuF[fhuFp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis],]	STRONG	
OxyR	gntP[gntPp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
OxyR	gor[gorp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	gor[gorp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	grxA[grxAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis],]	STRONG	
OxyR	hcp-hcr[hcpp1]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	hcp-hcr-poxB[hcpp1]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	hemF[hemFp3]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	hemH[hemHp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	isrC-flu[flup]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence],[SM|S|Site mutation]	[GEA|W|Gene expression analysis],]	STRONG	
OxyR	katG[katGp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis],]	STRONG	
OxyR	metE[metEp]	+	[IHBCE|W|Inferred by a human based on computational evidence]	[]	WEAK	
OxyR	metR[metRp1]	+	[IHBCE|W|Inferred by a human based on computational evidence]	[]	WEAK	
OxyR	mntH[mntHp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[SM|S|Site mutation],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	oxyR[oxyRp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	oxyR[oxyRp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	oxyS[oxySp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	sufABCDSE[sufAp]	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	trxC[trxCp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	uof-fur[uofp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	uxuAB[uxuAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
OxyR	ybjC-nfsA-rimK-ybjN[ybjCp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis]	STRONG	
OxyR	ychF[ychFp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[]	STRONG	
OxyR	yhjA[yhjAp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	STRONG	
OxyR	yjjZ[yjjZp]	+	[IHBCE|W|Inferred by a human based on computational evidence]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	STRONG	
OxyR	zinT[zinTp]	+	[IHBCE|W|Inferred by a human based on computational evidence]	[]	WEAK	
OxyR	znuA[znuAp]	+	[IHBCE|W|Inferred by a human based on computational evidence]	[IHBCE|W|Inferred by a human based on computational evidence]	WEAK	
OxyR	znuCB[znuCp]	+	[IHBCE|W|Inferred by a human based on computational evidence]	[]	WEAK	
PaaX	paaABCDEFGHIJK[paaAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PaaX	paaXY[paaXp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[]	STRONG	
PaaX	paaZ[paaZp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PdeL	fliFGHIJK[fliFp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PdeL	pdeL[pdeLp2]	+	[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis]	STRONG	
PdhR	cyoABCDE[cyoAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PdhR	fecABCDE[fecAp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
PdhR	glcDEFGBA[glcDp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PdhR	grcA[grcAp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PdhR	hemL[hemLp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
PdhR	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC[mraZp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PdhR	ndh[ndhp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GS|W|genomic SELEX]	[GEA|W|Gene expression analysis]	STRONG	
PdhR	pdhR-aceEF-lpdA[pdhRp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[GS|W|genomic SELEX]	[GEA|W|Gene expression analysis]	STRONG	
PdhR	pdhR-aceEF-lpdA[pdhRp2]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[GS|W|genomic SELEX]	[GEA|W|Gene expression analysis]	STRONG	
PdhR	tomB-hha[tomBp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
PepA	carAB[carAp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],[IMP|W|Inferred from mutant phenotype]	STRONG	
PepA	pepA[pepAp1]	-	[BPP|S|Binding of purified proteins]	[]	STRONG	
PgrR	tyrR[tyrRp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],[IGI|W|Inferred from genetic interaction]	STRONG	
PgrR	ycjG[ycjGp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],[IGI|W|Inferred from genetic interaction]	STRONG	
PgrR	ycjXF-tyrR[ycjXp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],[IGI|W|Inferred from genetic interaction]	STRONG	
PgrR	ycjY[ycjYp6]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],[IGI|W|Inferred from genetic interaction]	STRONG	
PgrR	ycjY-ymjDC-mpaA[ycjYp6]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],[IGI|W|Inferred from genetic interaction]	STRONG	
PhoB	adiC[adiCp7]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	amn[amnp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
PhoB	argP[argPp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PhoB	asr[asrp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
PhoB	asr[asrp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
PhoB	cra[fruRp8]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	cusCFBA[cusCp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	cusRS[cusRp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	eda[edap3]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	feaR[feaRp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	gadX[gadXp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	gadXW[gadXp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	hiuH[hiuHp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	mipA[mipAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	ompF[ompFp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	ompF[ompFp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	phnCDEEFGHIJKLMNOP[phnCp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	phoA-psiF[phoAp]	+	[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	phoBR[phoBp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	phoE[phoEp]	+	[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	phoH[phoHp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	phoQ[phoQp5]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	phoU[phoUp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	pitB[pitBp]	-	[BPP|S|Binding of purified proteins]	[IMP|W|Inferred from mutant phenotype]	STRONG	
PhoB	prpR[prpRp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	psiE[psiEp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	pstS[pstSp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	pstS[pstSp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	pstSCA[pstSp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	pstSCA[pstSp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	pstSCAB-phoU[pstSp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	pstSCAB-phoU[pstSp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	sbcDC[sbcDp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	tktB[tktBp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	ugpBAECQ[ugpBp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	STRONG	
PhoB	ugpBAECQ[ugpBp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],]	STRONG	
PhoB	ydfH[ydfHp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	yegH[yegHp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	yhjC[yhjCp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoB	yibD[yibDp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
PhoB	ytfK[ytfKp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	acrAB[acrAp]	-	[]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	argD[argDp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	borD[borDp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[]	STRONG	
PhoP	clpS[clpSp]	-	[BCE|W|Binding of cellular extracts],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	cysB[cysBp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
PhoP	dcuD[dcuDp1]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	fadL[fadLp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	gadEF[gadEp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	gadW[gadWp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	glgAP[glgAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	glgBXCAP[glgBp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	hdeAB-yhiD[hdeAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	hdeAB-yhiD[hdeAp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	hdeD[hdeDp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	STRONG	
PhoP	hdeD[hdeDp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	STRONG	
PhoP	hemL[hemLp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	iraM[iraMp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	iraM[iraMp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	STRONG	
PhoP	malS[malSp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	metBL[metBp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	mgrB[mgrBp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	mgrR[mgrRp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	mgtA[mgtAp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	mgtS[mgtSp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	nagA[nagAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	ompT[ompTp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	pagP[pagPp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	phoPQ[phoPp1]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	phoPQ[phoPp2]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	purHD[purHp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	rstAB[rstAp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	rutABCDEFG[rutAp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	safA-ydeO[safAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	slyB[slyBp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	slyB[slyBp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
